Date, Open, High, Low, Close, Volume
11/1/2019,288.7,289.12,283.02,286.81,5594293
10/31/2019,291,291.45,284.78,287.41,5090021
10/30/2019,284.34,293.49,283,291.45,9345562
10/29/2019,281.87,284.41,277.545,281.21,4356181
10/28/2019,278.05,285.75,277.35,281.86,6248433
10/25/2019,270.68,277.77,270.18,276.82,4747829
10/24/2019,271.81,274.02,268.8,271.5,4911033
10/23/2019,268.06,273.92,266.63,271.27,7154430
10/22/2019,271.159,275.41,265.8,266.69,11865590
10/21/2019,272.89,279.9399,269,278.05,12633960
10/18/2019,289.36,290.9,273.36,275.3,23449641
10/17/2019,304.49,308.75,288.3001,293.35,38462340
10/16/2019,283.12,288.17,280.7431,286.28,18413340
10/15/2019,283.82,285.87,279.4,284.25,7728161
10/14/2019,283.93,286.93,282,285.53,5543120
10/11/2019,284.8,287.87,275.8947,282.93,8817301
10/10/2019,265.97,280.53,265.0337,280.48,10961190
10/9/2019,270.02,271,264.57,267.53,6843488
10/8/2019,273.03,275.53,270.6427,270.72,6302269
10/7/2019,271.99,276.68,271.28,274.46,6796811
10/4/2019,268.2,275.4846,266.47,272.79,9992774
10/3/2019,267.78,268.843,257.01,268.15,9068810
10/2/2019,263.61,269.35,262.19,268.03,7773299
10/1/2019,267.35,272.2,264.03,269.58,8786284
9/30/2019,264,268.88,262.78,267.62,6823100
9/27/2019,266.175,267.44,260.39,263.08,7367491
9/26/2019,266.42,268.05,260.2,263.31,7696858
9/25/2019,255.71,266.6,253.7,264.75,11846750
9/24/2019,262.5,265,252.28,254.59,16392811
9/23/2019,268.345,273.39,261.89,265.92,13610290
9/20/2019,280.26,282.5,266,270.75,23954189
9/19/2019,291.56,293.81,283.4,286.6,8545761
9/18/2019,294.99,296.05,287.45,291.56,7841539
9/17/2019,294.5,299.15,291.79,298.6,4817119
9/16/2019,294.23,297.43,289.78,294.29,5307386
9/13/2019,290.61,296.62,290.04,294.15,6583124
9/12/2019,288.1,292.73,286.6,288.86,5010927
9/11/2019,285.7,292.65,284.61,288.27,7405949
9/10/2019,291.16,297.17,282.6629,287.99,12320250
9/9/2019,294.81,301.55,290.6,294.34,8232744
9/6/2019,293.35,293.35,287.03,290.17,5166556
9/5/2019,285.32,293.97,282.785,293.25,8972356
9/4/2019,291.25,292.38,286.51,291.52,4653665
9/3/2019,290.82,293.9,288.06,289.29,3684177
8/30/2019,298.78,298.94,290.85,293.75,4447990
8/29/2019,295,299.93,294.99,296.78,4392532
8/28/2019,289.47,292.82,287.75,291.77,3958043
8/27/2019,294.54,296.77,287.1968,291.03,6314559
8/26/2019,295.24,296.95,292.5,294.98,4696982
8/23/2019,295,299.01,290.32,291.44,6331189
8/22/2019,298.65,300.33,293.15,296.93,4977042
8/21/2019,301.61,302.88,296.2,297.81,5689746
8/20/2019,304.57,305,297.6811,298.99,7352162
8/19/2019,306.25,311.75,304.75,309.38,4951733
8/16/2019,298.86,303.55,296.27,302.8,7090757
8/15/2019,299.5,300.63,288,295.76,9683384
8/14/2019,308.01,308.41,298.005,299.11,7355753
8/13/2019,309.77,316.43,308.16,312.28,5338761
8/12/2019,305.46,312.89,303.24,310.83,6531722
8/9/2019,313.74,316.64,305.68,308.93,5349059
8/8/2019,311.03,316.3648,306.63,315.9,5905865
8/7/2019,302.56,305,296.8126,304.29,9322433
8/6/2019,310.58,311.88,305.3,310.1,6179090
8/5/2019,310.96,313.4179,304.677,307.63,8692485
8/2/2019,317.49,319.41,311.8,318.83,6280343
8/1/2019,324.25,328.58,318.735,319.5,6563156
7/31/2019,325.16,331.77,318.53,322.99,6259494
7/30/2019,329.2,329.65,323.23,325.93,6029320
7/29/2019,335.98,336.4,328.77,332.7,5782817
7/26/2019,328.79,336,327.5,335.78,10847500
7/25/2019,318.86,327.69,316.3,326.46,10798500
7/24/2019,310.51,319.99,307.25,317.94,11961820
7/23/2019,311.44,313.5,306,307.3,9171068
7/22/2019,312,314.54,305.81,310.62,17725330
7/19/2019,323.4,325.85,314.23,315.1,16302480
7/18/2019,323.76,329.85,320.3,325.21,31305900
7/17/2019,366.25,366.5,361.75,362.44,13639540
7/16/2019,370.09,371.34,364.92,365.99,5863222
7/15/2019,372.94,373.68,362.3,366.6,7944680
7/12/2019,378.68,379.7375,372.7917,373.25,6636937
7/11/2019,381.1,384.54,378.8,379.5,4336287
7/10/2019,382.77,384.3399,377.4,381,5878790
7/9/2019,379.06,384.76,377.5,379.93,6932822
7/8/2019,378.19,378.25,375.36,376.16,3113402
7/5/2019,378.29,381.4,375.555,380.55,3732162
7/3/2019,376.69,381.99,375.84,381.72,3799009
7/2/2019,374.89,376,370.31,375.43,3628962
7/1/2019,373.5,376.66,372,374.6,5001518
6/28/2019,370.26,371.5448,364.87,367.32,4592706
6/27/2019,363.2,370.85,363.2,370.02,4138575
6/26/2019,361.6,366.79,361.6,362.2,3669677
6/25/2019,370.75,370.9994,358.29,360.3,5750383
6/24/2019,370.27,375,370.2,371.04,4830240
6/21/2019,365,371.45,365,369.21,7448356
6/20/2019,365.91,370.12,361.215,365.21,5899467
6/19/2019,361.72,364.74,356.12,363.52,5667156
6/18/2019,355.57,361.5,353.75,357.12,5428542
6/17/2019,342.69,351.77,342.06,350.62,5358219
6/14/2019,341.63,343.4,336.155,339.73,5019011
6/13/2019,347.23,348.5,339.25,343.43,6209347
6/12/2019,351.82,353.61,343.23,345.56,4584704
6/11/2019,355,357.58,348.5,351.27,5396712
6/10/2019,363.65,367.1,349.285,352.01,7810261
6/7/2019,357.39,365.15,355.69,360.87,4777321
6/6/2019,354.84,358.21,352.09,357.13,3709955
6/5/2019,354.38,357.88,348.71,355.73,5020081
6/4/2019,345,353.61,343.25,353.4,7891632
6/3/2019,343.56,347.66,332.65,336.63,7849589
5/31/2019,347.22,349.34,342.92,343.28,5023449
5/30/2019,350.55,354.21,348.3,351.85,4008042
5/29/2019,353.6,353.8476,345.9,349.19,5658913
5/28/2019,354.39,361.2,353.64,354.78,4717144
5/24/2019,355.41,359.44,353.791,354.39,3830963
5/23/2019,355.5,357.42,347.7,352.21,5630443
5/22/2019,358.01,370.46,357.3,359.73,6229389
5/21/2019,350.95,356.425,349.93,354.27,4026369
5/20/2019,351.23,352.418,345.4,348.11,4621515
5/17/2019,356.39,359.62,353.785,354.45,4725448
5/16/2019,356.37,364,353.935,359.31,6441463
5/15/2019,343.34,356.5,341.39,354.99,6340118
5/14/2019,348.71,349.95,342.5,345.61,5353029
5/13/2019,352.29,354.26,343.1,345.26,8026697
5/10/2019,361.62,365.2578,353.06,361.04,5657123
5/9/2019,360.9,364.2,352.75,362.75,5882572
5/8/2019,367.92,369,361.36,364.37,6571957
5/7/2019,377,379.91,365.81,370.46,6974924
5/6/2019,377.69,381.35,376,378.67,5793144
5/3/2019,381.53,385.03,378.2717,385.03,5130301
5/2/2019,378,383.5,374.51,379.06,5398167
5/1/2019,374,385.99,373.1746,378.81,9257284
4/30/2019,369.56,374.5,368.348,370.54,3870095
4/29/2019,373.68,374.5753,369.115,371.83,3821703
4/26/2019,368.35,375.14,366.24,374.85,5621901
4/25/2019,374.49,374.76,365.7,368.33,6255496
4/24/2019,381.07,381.9,373.2698,374.23,6541872
4/23/2019,375.45,384.8,374.7069,381.89,10089820
4/22/2019,359.7,377.69,359,377.34,11980530
4/18/2019,355,360.41,351.64,360.35,8353165
4/17/2019,365.05,368.764,350.6,354.74,18054100
4/16/2019,355,364.4787,352.72,359.46,18740230
4/15/2019,350.71,352.21,342.27,348.87,8842344
4/12/2019,360.69,361.75,349.36,351.14,15646200
4/11/2019,365,370.12,360.81,367.65,6526899
4/10/2019,365.79,368.8481,362.25,363.92,4545561
4/9/2019,360.54,366.74,359,364.71,5439228
4/8/2019,365.11,365.94,359.93,361.41,4653810
4/5/2019,369,369.8,364.66,365.49,3905493
4/4/2019,370.07,372.05,362.4,367.88,4627305
4/3/2019,369.26,373.4105,366.19,369.75,5376623
4/2/2019,366.25,368.42,362.22,367.72,5158742
4/1/2019,359,368.33,358.51,366.96,7036097
3/29/2019,357.16,358.25,353.71,356.56,4705636
3/28/2019,354.485,355.94,349.2,354.61,4360960
3/27/2019,361,362.47,350.37,353.37,7852370
3/26/2019,367.87,368.38,358.02,359.97,7666475
3/25/2019,359,367.0399,357.44,366.23,8473845
3/22/2019,375.95,376.43,360.04,361.01,8661346
3/21/2019,374,379,370.61,377.87,8544017
3/20/2019,358.91,375.9,357.01,375.22,10917170
3/19/2019,366.4,366.96,356.8,358.78,7541425
3/18/2019,362.47,370.9705,361.86,363.44,7194726
3/15/2019,361.02,364,358.89,361.46,8443210
3/14/2019,360.5,363.84,358.1008,358.82,5271429
3/13/2019,355.81,362.48,352.765,361.21,6444092
3/12/2019,359.37,360.13,353.8,356.27,5164571
3/11/2019,352,358.98,350.03,358.86,5387285
3/8/2019,345.75,349.92,342.47,349.6,6898838
3/7/2019,360.16,362.86,350.5,352.6,6151331
3/6/2019,353.6,359.88,351.7,359.61,6211895
3/5/2019,351.46,356.17,348.25,354.3,5937754
3/4/2019,359.72,362.25,348.0436,351.04,7486996
3/1/2019,362.26,362.87,354.6915,357.32,5526539
2/28/2019,362.47,366.39,357.709,358.1,6186763
2/27/2019,363.5,368.03,359.8,362.87,5629945
2/26/2019,362.98,365.7,359.33,364.97,4944593
2/25/2019,367.01,371.49,363.79,363.91,7569320
2/22/2019,360.34,366.13,360.05,363.02,7088214
2/21/2019,360.03,362.85,353.88,356.97,6227897
2/20/2019,364.85,366.71,356.7,359.91,8110741
2/19/2019,355.8,365,355.32,361.92,7396559
2/15/2019,358.47,364.4,355.5,356.87,9229980
2/14/2019,351.75,360.45,348.33,359.07,9295338
2/13/2019,357.3,359.6,350.28,351.77,10559150
2/12/2019,348.09,360,346.52,359.97,10429400
2/11/2019,350,352.87,344.81,345.73,5454863
2/8/2019,338,348,338,347.57,7561391
2/7/2019,347.9,348.75,339.02,344.71,7864529
2/6/2019,357,357.04,347.19,352.19,6717662
2/5/2019,353.2,360,352.9,355.81,9046623
2/4/2019,342.6,352,341.3,351.34,9051387
2/1/2019,337.18,346.84,336.5,339.85,9827760
1/31/2019,339.68,345.99,338.0919,339.5,8535517
1/30/2019,332.75,341.78,330.8,340.66,9234530
1/29/2019,335.87,338.22,328.151,328.9,7655189
1/28/2019,334.7,336.3,328.88,335.66,8652082
1/25/2019,328.72,340,328.51,338.05,11166610
1/24/2019,320.6,331.8,319,326.67,11131630
1/23/2019,328.25,331.75,318.6,321.99,13480140
1/22/2019,334.89,336.88,321.03,325.16,17941420
1/18/2019,351.97,353,336.73,339.1,26621039
1/17/2019,349.5,355.79,346.41,353.19,18871199
1/16/2019,354,358.85,348.11,351.39,15385550
1/15/2019,349.6,357.22,347,354.64,21181230
1/14/2019,334.24,335.48,329.13,332.94,10499580
1/11/2019,330.96,341.09,328.52,337.59,19500430
1/10/2019,314.57,325.37,312.5,324.66,13472480
1/9/2019,317.71,323.3508,313.5,319.96,13343150
1/8/2019,319.98,320.593,308.01,320.27,15359180
1/7/2019,302.1,316.8,301.65,315.34,18620119
1/4/2019,281.88,297.8,278.54,297.57,19330100
1/3/2019,270.2,275.79,264.43,271.2,14969650
1/2/2019,259.28,269.7499,256.58,267.66,11679530
12/31/2018,260.16,270.1001,260,267.66,13508920
12/28/2018,257.94,261.9144,249.8,256.08,10987290
12/27/2018,250.11,255.59,240.1,255.565,12235220
12/26/2018,233.92,254.5,231.23,253.67,14402740
12/24/2018,242,250.65,233.68,233.88,9547616
12/21/2018,263.83,264.5,241.29,246.39,21397600
12/20/2018,264.64,269.9,251.88,260.58,16792930
12/19/2018,269.96,280.87,263.77,266.77,13788450
12/18/2018,263.3,275.75,263.29,270.94,10350080
12/17/2018,266.51,272.98,261.075,262.8,9634734
12/14/2018,271.81,277.6665,265,266.84,9915319
12/13/2018,277.64,279.32,271.85,276.02,8379292
12/12/2018,267.66,281.7695,266.48,274.88,11456720
12/11/2018,274.08,274.5,262.76,265.32,9843199
12/10/2018,264.19,271.18,260.6094,269.7,9605553
12/7/2018,282.48,284.209,263.38,265.14,12466710
12/6/2018,268.33,283.22,267.14,282.88,13074320
12/4/2018,288.13,295.74,274.72,275.33,12800590
12/3/2018,293.19,298.72,284.58,290.3,14117370
11/30/2018,288,290.81,283.061,286.13,11860120
11/29/2018,282.32,290.49,275.5,288.75,15431540
11/28/2018,271.98,284,263.34,282.65,14801330
11/27/2018,259.24,269.08,256.14,266.63,11149500
11/26/2018,260.55,266.25,253.8,261.43,12498560
11/23/2018,260.11,265.5,256.84,258.82,5245123
11/21/2018,274.42,275.34,261.51,262.13,11023040
11/20/2018,254.63,276.34,250,266.98,16693811
11/19/2018,283.79,285.09,269.15,270.6,12993800
11/16/2018,287.14,291.72,281,286.21,9099485
11/15/2018,285.51,292.5,282.16,290.06,9967098
11/14/2018,300.4,301.84,278.2969,286.73,16853570
11/13/2018,295,303.55,289.1,294.4,12232160
11/12/2018,300,302.49,290.63,294.07,10924830
11/9/2018,311.07,312.98,298.01,303.47,13480790
11/8/2018,328,332.0499,316.6103,317.92,11023850
11/7/2018,312.9,328.56,311,327.5,13328330
11/6/2018,314.76,320.22,305.3,310.84,9710424
11/5/2018,311.1,317.53,303.74,315.44,10283040
11/2/2018,318,321.88,308.33,309.1,13404650
11/1/2018,304.59,318.45,296.67,317.38,15121450
